OTHER	1E5	PcRebarManager	0			1/0/0;0/1/0;0/0/1
BOLT	3DC	424.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3DD	424.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3DE	524.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3DF	524.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E0	624.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E1	624.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E2	724.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E3	724.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E4	824.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E5	824.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E6	924.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E7	924.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E8	1024.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3E9	1024.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3EA	1124.879,3806.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3EB	1124.879,3906.573,77.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3EC	424.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3ED	424.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3EE	524.879,3806.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3EF	524.879,3906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
